lag,yw,ld,ywm,ldb
0,1.0,1.0,1.0,1.0
1,-0.11773516157888615,-0.11773516157888615,-0.11773516157888615,-0.1165578099630973
2,0.02604330388374854,0.026043303883748554,0.02604330388374854,0.025513895351645315
3,0.10693455808222116,0.10693455808222119,0.10693455808222116,0.10369764039888583
4,-0.05877317176288552,-0.058773171762885476,-0.05877317176288552,-0.05635773152691516
5,0.02673134280533543,0.02673134280533541,0.02673134280533543,0.025362532063711248
6,-0.056339684688774705,-0.056339684688774726,-0.056339684688774705,-0.05290241870672212
7,-0.04343662993999505,-0.04343662993999505,-0.04343662993999505,-0.040357065461701765
8,0.10392911807655048,0.1039291180765505,0.10392911807655048,0.09536130981395052
9,-0.03223751603094341,-0.03223751603094337,-0.03223751603094341,-0.029048795527429255
10,-0.13720402506046245,-0.1372040250604624,-0.13720402506046245,-0.1230489997638245
11,0.11483691784943724,0.11483691784943725,0.11483691784943724,0.10099843652562092
12,0.05292557937478414,0.0529255793747841,0.05292557937478414,0.046413622470524905
