Date,Stock,Close
2020-01-02,AAPL,72.7160873413086
2020-01-03,AAPL,72.0091323852539
2020-01-06,AAPL,72.58289337158203
2020-01-07,AAPL,72.24153900146484
2020-01-08,AAPL,73.40365600585938
2020-01-09,AAPL,74.96280670166016
2020-01-10,AAPL,75.13227844238281
2020-01-13,AAPL,76.73741149902344
2020-01-14,AAPL,75.70121765136719
2020-01-15,AAPL,75.37680053710938
2020-01-16,AAPL,76.32099151611328
2020-01-17,AAPL,77.16595458984375
2020-01-21,AAPL,76.64300537109375
2020-01-22,AAPL,76.91658020019531
2020-01-23,AAPL,77.28700256347656
2020-01-24,AAPL,77.06425476074219
2020-01-27,AAPL,74.79815673828125
2020-01-28,AAPL,76.91416931152344
2020-01-29,AAPL,78.52415466308594
2020-01-30,AAPL,78.41034698486328
2020-01-31,AAPL,74.93374633789062
2020-02-03,AAPL,74.72796630859375
2020-02-04,AAPL,77.19499206542969
2020-02-05,AAPL,77.82449340820312
2020-02-06,AAPL,78.73477935791016
2020-02-07,AAPL,77.6645736694336
2020-02-10,AAPL,78.03343963623047
2020-02-11,AAPL,77.56263732910156
2020-02-12,AAPL,79.40457153320312
2020-02-13,AAPL,78.83910369873047
2020-02-14,AAPL,78.85855865478516
2020-02-18,AAPL,77.41461944580078
2020-02-19,AAPL,78.5357894897461
2020-02-20,AAPL,77.73009490966797
2020-02-21,AAPL,75.97065734863281
2020-02-24,AAPL,72.36203002929688
2020-02-25,AAPL,69.91098022460938
2020-02-26,AAPL,71.02001953125
2020-02-27,AAPL,66.3775634765625
2020-02-28,AAPL,66.33873748779297
2020-03-02,AAPL,72.5149154663086
2020-03-03,AAPL,70.21190643310547
2020-03-04,AAPL,73.46864318847656
2020-03-05,AAPL,71.08554077148438
2020-03-06,AAPL,70.14151763916016
2020-03-09,AAPL,64.59390258789062
2020-03-10,AAPL,69.24604797363281
2020-03-11,AAPL,66.84107971191406
2020-03-12,AAPL,60.24021530151367
2020-03-13,AAPL,67.45750427246094
2020-03-16,AAPL,58.77928924560547
2020-03-17,AAPL,61.36382293701172
2020-03-18,AAPL,59.861629486083984
2020-03-19,AAPL,59.40296936035156
2020-03-20,AAPL,55.631744384765625
2020-03-23,AAPL,54.44989013671875
2020-03-24,AAPL,59.91259765625
2020-03-25,AAPL,59.582550048828125
2020-03-26,AAPL,62.71796798706055
2020-03-27,AAPL,60.12130355834961
2020-03-30,AAPL,61.83705139160156
2020-03-31,AAPL,61.710853576660156
2020-04-01,AAPL,58.463809967041016
2020-04-02,AAPL,59.439369201660156
2020-04-03,AAPL,58.585140228271484
2020-04-06,AAPL,63.69595718383789
2020-04-07,AAPL,62.958229064941406
2020-04-08,AAPL,64.56959533691406
2020-04-09,AAPL,65.03555297851562
2020-04-13,AAPL,66.3120346069336
2020-04-14,AAPL,69.66099548339844
2020-04-15,AAPL,69.02520751953125
2020-04-16,AAPL,69.57365417480469
2020-04-17,AAPL,68.629638671875
2020-04-20,AAPL,67.20509338378906
2020-04-21,AAPL,65.1277847290039
2020-04-22,AAPL,67.00366973876953
2020-04-23,AAPL,66.7440185546875
2020-04-24,AAPL,68.67088317871094
2020-04-27,AAPL,68.71942901611328
2020-04-28,AAPL,67.60551452636719
2020-04-29,AAPL,69.82601928710938
2020-04-30,AAPL,71.2990951538086
2020-05-01,AAPL,70.15123748779297
2020-05-04,AAPL,71.14378356933594
2020-05-05,AAPL,72.21157836914062
2020-05-06,AAPL,72.95657348632812
2020-05-07,AAPL,73.7113265991211
2020-05-08,AAPL,75.46578216552734
2020-05-11,AAPL,76.65327453613281
2020-05-12,AAPL,75.77723693847656
2020-05-13,AAPL,74.86229705810547
2020-05-14,AAPL,75.32221984863281
2020-05-15,AAPL,74.87689971923828
2020-05-18,AAPL,76.64107513427734
2020-05-19,AAPL,76.19819641113281
2020-05-20,AAPL,77.68013763427734
2020-05-21,AAPL,77.10100555419922
2020-05-22,AAPL,77.59739685058594
2020-05-26,AAPL,77.0718002319336
2020-05-27,AAPL,77.4075927734375
2020-05-28,AAPL,77.4416732788086
2020-05-29,AAPL,77.3662109375
2020-06-01,AAPL,78.31767272949219
2020-06-02,AAPL,78.68024444580078
2020-06-03,AAPL,79.1133804321289
2020-06-04,AAPL,78.43202209472656
2020-06-05,AAPL,80.6658706665039
2020-06-08,AAPL,81.14280700683594
2020-06-09,AAPL,83.70512390136719
2020-06-10,AAPL,85.85865783691406
2020-06-11,AAPL,81.73654174804688
2020-06-12,AAPL,82.44221496582031
2020-06-15,AAPL,83.46178436279297
2020-06-16,AAPL,85.67372131347656
2020-06-17,AAPL,85.55447387695312
2020-06-18,AAPL,85.58856201171875
2020-06-19,AAPL,85.09945678710938
2020-06-22,AAPL,87.32598114013672
2020-06-23,AAPL,89.18993377685547
2020-06-24,AAPL,87.61555480957031
2020-06-25,AAPL,88.7786865234375
2020-06-26,AAPL,86.0509033203125
2020-06-29,AAPL,88.03407287597656
2020-06-30,AAPL,88.76893615722656
2020-07-01,AAPL,88.60105895996094
2020-07-02,AAPL,88.60105895996094
2020-07-06,AAPL,90.97114562988281
2020-07-07,AAPL,90.6888656616211
2020-07-08,AAPL,92.80104064941406
2020-07-09,AAPL,93.20011901855469
2020-07-10,AAPL,93.3631362915039
2020-07-13,AAPL,92.93242645263672
2020-07-14,AAPL,94.47032165527344
2020-07-15,AAPL,95.1200180053711
2020-07-16,AAPL,93.94959259033203
2020-07-17,AAPL,93.75978088378906
2020-07-20,AAPL,95.73564147949219
2020-07-21,AAPL,94.41433715820312
2020-07-22,AAPL,94.67957305908203
2020-07-23,AAPL,90.3700942993164
2020-07-24,AAPL,90.14624786376953
2020-07-27,AAPL,92.28271484375
2020-07-28,AAPL,90.76676177978516
2020-07-29,AAPL,92.50659942626953
2020-07-30,AAPL,93.62594604492188
2020-07-31,AAPL,103.42750549316406
2020-08-03,AAPL,106.03363037109375
2020-08-04,AAPL,106.74176025390625
2020-08-05,AAPL,107.12863159179688
2020-08-06,AAPL,110.86628723144531
2020-08-07,AAPL,108.34566497802734
2020-08-10,AAPL,109.92046356201172
2020-08-11,AAPL,106.65143585205078
2020-08-12,AAPL,110.19591522216797
2020-08-13,AAPL,112.1461181640625
2020-08-14,AAPL,112.04615020751953
2020-08-17,AAPL,111.7536392211914
2020-08-18,AAPL,112.6848373413086
2020-08-19,AAPL,112.82623291015625
2020-08-20,AAPL,115.3298110961914
2020-08-21,AAPL,121.27301788330078
2020-08-24,AAPL,122.72349548339844
2020-08-25,AAPL,121.71671295166016
2020-08-26,AAPL,123.37193298339844
2020-08-27,AAPL,121.89708709716797
2020-08-28,AAPL,121.69965362548828
2020-08-31,AAPL,125.82674407958984
2020-09-01,AAPL,130.8387451171875
2020-09-02,AAPL,128.1279754638672
2020-09-03,AAPL,117.86994171142578
2020-09-04,AAPL,117.94794464111328
2020-09-08,AAPL,110.0106430053711
2020-09-09,AAPL,114.39857482910156
2020-09-10,AAPL,110.66395568847656
2020-09-11,AAPL,109.21106719970703
2020-09-14,AAPL,112.48739624023438
2020-09-15,AAPL,112.66291046142578
2020-09-16,AAPL,109.33782196044922
2020-09-17,AAPL,107.59239196777344
2020-09-18,AAPL,104.17955780029297
2020-09-21,AAPL,107.33888244628906
2020-09-22,AAPL,109.02578735351562
2020-09-23,AAPL,104.45258331298828
2020-09-24,AAPL,105.52519226074219
2020-09-25,AAPL,109.48410034179688
2020-09-28,AAPL,112.09735107421875
2020-09-29,AAPL,111.24901580810547
2020-09-30,AAPL,112.92617797851562
2020-10-01,AAPL,113.88179016113281
2020-10-02,AAPL,110.20565032958984
2020-10-05,AAPL,113.5990219116211
2020-10-06,AAPL,110.34217834472656
