"","y"
"1",0
"2",-0.164358596288989
"3",0.458103466940673
"4",1.39316151238797
"5",1.14618849172211
"6",0.439477607266991
"7",0.504746212609078
"8",0.0733330314385285
"9",-0.493632061926601
"10",0.156608920648948
"11",-0.486070148826175
"12",-2.29530315274717
"13",-2.22767597023419
"14",-0.994463566758901
"15",0.170037616213746
"16",-0.274670025917572
"17",-0.444416031457404
"18",-0.0934204045740633
"19",-1.57808831138491
"20",1.12435739074145
"21",0.342479521746875
"22",0.773521082230001
"23",3.19424620603357
"24",2.70749764283069
"25",1.57939909400064
"26",-0.395772623105499
"27",-1.39484109127508
"28",-1.12567271881013
"29",-1.36810376773823
"30",-0.435047532462933
"31",-1.53029086616214
"32",0.548666946766008
"33",-1.08635065224464
"34",-0.371629684841722
"35",-1.09439413590526
"36",-2.23189130572993
"37",-1.47857491125299
"38",-2.7167636048979
"39",-1.18985486969937
"40",-0.0614296392364059
"41",1.03012622253534
"42",1.98335683756609
"43",0.577266960213859
"44",-0.156466358042164
"45",-1.83867823474797
"46",-0.353810999312064
"47",-0.888406832941975
"48",-0.692279991062227
"49",0.186636604006918
"50",0.436160335642393
"51",0.476204491404357
"52",-1.09466614152027
"53",-1.12846400931679
"54",0.098146717473425
"55",0.227904068295706
"56",1.02672400309353
"57",1.1470855610209
"58",-0.228618993986236
"59",-1.05241873996147
"60",-0.981482898539944
"61",-0.292469149645002
"62",0.234372397514109
"63",0.443482558053134
"64",1.48350020378317
"65",-0.309233984112095
"66",-2.8671622799985
"67",-3.10957675476229
"68",-2.77413539506079
"69",-0.425030492847885
"70",-0.908274639138619
"71",-0.927575774950986
"72",-1.59580590148172
"73",-2.1387594076904
"74",-4.01415122938354
"75",-3.54524044189038
"76",-1.684288426749
"77",-1.9242199861377
"78",-0.0373048259934778
"79",-0.969951741276569
"80",-1.54640505956944
"81",-2.40337660652142
"82",-0.412320557142965
"83",-0.283367768973762
"84",-1.45959932628062
"85",-1.22269435991124
"86",-1.08033322235629
"87",0.347942939421025
"88",-0.94850905424455
"89",-1.91253965487233
"90",-0.530139060200182
"91",0.0552432186888018
"92",-1.06615064804811
"93",0.769761434838618
"94",0.429062703057741
"95",-0.325235108094921
"96",-1.48034571069429
"97",-3.0733827530154
"98",-3.84772271647996
"99",-3.71543508339394
"100",-2.58408846651958
"101",-1.31843600829479
"102",-1.3776360323605
"103",-0.121987472104422
"104",-0.0483800614456301
"105",-1.56110327066982
"106",-1.36915727918474
"107",-2.41986779858067
"108",-0.393232532303499
"109",-0.138979435569398
"110",0.926914634840972
"111",-0.749294895865141
"112",-1.15710380985602
"113",-1.32208426548108
"114",-3.02980443449093
"115",-2.46040138340989
"116",-0.760646469496673
"117",-2.22809459887461
"118",-1.80635566032211
"119",-1.68489656932733
"120",-1.72275041774539
"121",-2.04658349296133
"122",-2.49646132923413
"123",-2.37630885550437
"124",-3.25279968291008
"125",-2.22606270454696
"126",-1.80326001420734
"127",-2.84133770927828
"128",-2.24594176612054
"129",-3.5042862970968
"130",-2.78548379319309
"131",-1.38856455155572
"132",-1.22529550756219
"133",-1.77495921083657
"134",-2.79270375129715
"135",-3.1706924087273
"136",-0.857287049428064
"137",-1.81023168534813
"138",-1.56575470743488
"139",-2.33527719818446
"140",-0.896645435739225
"141",-1.51204729680687
"142",-3.17430847162542
"143",-1.48674823068469
"144",-0.605988413833517
"145",-0.944530548971053
"146",-1.4667862368908
"147",-2.49092547225364
"148",-0.922895471867685
"149",-0.374661426498601
"150",-0.382335835503318
"151",-0.95219418359734
"152",-1.01616430918904
"153",-1.25311285535385
"154",-2.27165268484377
"155",-2.01429778777845
"156",-0.533293458508314
"157",0.0943397389281329
"158",0.991461588846181
"159",1.10184153681895
"160",2.11655519076385
"161",1.56138390318073
"162",2.80022321120803
"163",1.66223119767112
"164",0.86748484649022
"165",-0.464806064626719
"166",-2.23276184106782
"167",-1.60557636728383
"168",-1.55824480204078
"169",-3.01659116082336
"170",-1.45655342644032
"171",-0.162713701281269
"172",0.6925002972292
"173",0.474573475319039
"174",1.1188993832983
"175",2.8332763812032
"176",2.97716250619971
"177",1.22196023301582
"178",1.55093211178608
"179",-0.920869057460102
"180",-1.86525615529353
"181",-0.965408127307362
"182",0.00965854278932132
"183",1.24928832148061
"184",1.2929358140266
"185",-0.812579920675272
"186",-1.83926410098508
"187",-0.851940342604575
"188",-0.367180202388866
"189",0.385681725651466
"190",-0.211639498744211
"191",0.0721043185269937
"192",0.524480082907927
"193",1.18088146601727
"194",0.905924008775983
"195",0.749687750814556
"196",0.775984675449489
"197",1.58334477136025
"198",2.28161318616217
"199",1.6726397450426
"200",1.03177779280284
