unique_id,ds,y
us_births,1948-01-01,295
us_births,1948-02-01,286
us_births,1948-03-01,300
us_births,1948-04-01,278
us_births,1948-05-01,272
us_births,1948-06-01,268
us_births,1948-07-01,308
us_births,1948-08-01,321
us_births,1948-09-01,313
us_births,1948-10-01,308
us_births,1948-11-01,291
us_births,1948-12-01,296
us_births,1949-01-01,294
us_births,1949-02-01,273
us_births,1949-03-01,300
us_births,1949-04-01,271
us_births,1949-05-01,282
us_births,1949-06-01,285
us_births,1949-07-01,318
us_births,1949-08-01,323
us_births,1949-09-01,313
us_births,1949-10-01,311
us_births,1949-11-01,291
us_births,1949-12-01,293
us_births,1950-01-01,297
us_births,1950-02-01,273
us_births,1950-03-01,294
us_births,1950-04-01,259
us_births,1950-05-01,276
us_births,1950-06-01,294
us_births,1950-07-01,316
us_births,1950-08-01,325
us_births,1950-09-01,315
us_births,1950-10-01,312
us_births,1950-11-01,292
us_births,1950-12-01,301
us_births,1951-01-01,304
us_births,1951-02-01,282
us_births,1951-03-01,313
us_births,1951-04-01,296
us_births,1951-05-01,313
us_births,1951-06-01,307
us_births,1951-07-01,328
us_births,1951-08-01,334
us_births,1951-09-01,329
us_births,1951-10-01,329
us_births,1951-11-01,304
us_births,1951-12-01,312
us_births,1952-01-01,312
us_births,1952-02-01,300
us_births,1952-03-01,317
us_births,1952-04-01,292
us_births,1952-05-01,300
us_births,1952-06-01,311
us_births,1952-07-01,345
us_births,1952-08-01,350
us_births,1952-09-01,344
us_births,1952-10-01,336
us_births,1952-11-01,315
us_births,1952-12-01,323
us_births,1953-01-01,322
us_births,1953-02-01,296
us_births,1953-03-01,315
us_births,1953-04-01,287
us_births,1953-05-01,307
us_births,1953-06-01,321
us_births,1953-07-01,354
us_births,1953-08-01,356
us_births,1953-09-01,348
us_births,1953-10-01,334
us_births,1953-11-01,320
us_births,1953-12-01,340
us_births,1954-01-01,332
us_births,1954-02-01,302
us_births,1954-03-01,324
us_births,1954-04-01,305
us_births,1954-05-01,318
us_births,1954-06-01,329
us_births,1954-07-01,359
us_births,1954-08-01,363
us_births,1954-09-01,359
us_births,1954-10-01,352
us_births,1954-11-01,335
us_births,1954-12-01,342
us_births,1955-01-01,329
us_births,1955-02-01,306
us_births,1955-03-01,332
us_births,1955-04-01,309
us_births,1955-05-01,326
us_births,1955-06-01,325
us_births,1955-07-01,354
us_births,1955-08-01,367
us_births,1955-09-01,362
us_births,1955-10-01,354
us_births,1955-11-01,337
us_births,1955-12-01,345
us_births,1956-01-01,339
us_births,1956-02-01,325
us_births,1956-03-01,345
us_births,1956-04-01,309
us_births,1956-05-01,315
us_births,1956-06-01,334
us_births,1956-07-01,370
us_births,1956-08-01,383
us_births,1956-09-01,375
us_births,1956-10-01,370
us_births,1956-11-01,344
us_births,1956-12-01,355
us_births,1957-01-01,346
us_births,1957-02-01,317
us_births,1957-03-01,348
us_births,1957-04-01,331
us_births,1957-05-01,345
us_births,1957-06-01,348
us_births,1957-07-01,380
us_births,1957-08-01,381
us_births,1957-09-01,377
us_births,1957-10-01,376
us_births,1957-11-01,348
us_births,1957-12-01,356
us_births,1958-01-01,344
us_births,1958-02-01,320
us_births,1958-03-01,347
us_births,1958-04-01,326
us_births,1958-05-01,343
us_births,1958-06-01,338
us_births,1958-07-01,361
us_births,1958-08-01,368
us_births,1958-09-01,378
us_births,1958-10-01,374
us_births,1958-11-01,347
us_births,1958-12-01,358
us_births,1959-01-01,349
us_births,1959-02-01,323
us_births,1959-03-01,358
us_births,1959-04-01,331
us_births,1959-05-01,338
us_births,1959-06-01,343
us_births,1959-07-01,374
us_births,1959-08-01,380
us_births,1959-09-01,377
us_births,1959-10-01,368
us_births,1959-11-01,346
us_births,1959-12-01,358
us_births,1960-01-01,338
us_births,1960-02-01,329
us_births,1960-03-01,347
us_births,1960-04-01,327
us_births,1960-05-01,335
us_births,1960-06-01,336
us_births,1960-07-01,370
us_births,1960-08-01,399
us_births,1960-09-01,385
us_births,1960-10-01,368
us_births,1960-11-01,351
us_births,1960-12-01,362
us_births,1961-01-01,358
us_births,1961-02-01,333
us_births,1961-03-01,356
us_births,1961-04-01,335
us_births,1961-05-01,348
us_births,1961-06-01,346
us_births,1961-07-01,374
us_births,1961-08-01,386
